"PK","SK","close","created_at","high","low","open","pair","timeframe_minutes","timestamp","volume","vwap"
"PAIR#XXBTZUSD","TF#1m#TS#1778390160","80750.8","1778433385","80750.8","80750.7","80750.8","XXBTZUSD","1","1778390160","0.04164553","80750.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778390220","80750.7","1778433445","80750.8","80750.7","80750.8","XXBTZUSD","1","1778390220","0.03021481","80750.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778390280","80751.9","1778433505","80752","80750.7","80750.8","XXBTZUSD","1","1778390280","0.65025089","80750.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778390340","80752","1778433565","80752","80751.9","80752","XXBTZUSD","1","1778390340","0.00375991","80751.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778390400","80752","1778433625","80752","80751.9","80751.9","XXBTZUSD","1","1778390400","0.00812579","80751.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778390460","80752","1778433685","80752","80751.9","80752","XXBTZUSD","1","1778390460","0.03345019","80751.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778390520","80752","1778433745","80752","80751.9","80751.9","XXBTZUSD","1","1778390520","0.01578357","80751.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778390580","80752","1778433805","80752","80751.9","80752","XXBTZUSD","1","1778390580","0.02717083","80751.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778390640","80774.1","1778433865","80774.1","80751.9","80751.9","XXBTZUSD","1","1778390640","1.42791291","80752"
"PAIR#XXBTZUSD","TF#1m#TS#1778390700","80774.1","1778433925","80774.1","80774","80774.1","XXBTZUSD","1","1778390700","0.01692584","80774"
"PAIR#XXBTZUSD","TF#1m#TS#1778390760","80774.1","1778433985","80774.1","80774","80774.1","XXBTZUSD","1","1778390760","0.00735952","80774"
"PAIR#XXBTZUSD","TF#1m#TS#1778390820","80774.1","1778434045","80774.1","80774","80774.1","XXBTZUSD","1","1778390820","0.00892379","80774"
"PAIR#XXBTZUSD","TF#1m#TS#1778390880","80774.1","1778434105","80774.1","80774","80774.1","XXBTZUSD","1","1778390880","0.00810023","80774"
"PAIR#XXBTZUSD","TF#1m#TS#1778390940","80754","1778434165","80774.1","80754","80774.1","XXBTZUSD","1","1778390940","0.13665295","80773.2"
"PAIR#XXBTZUSD","TF#1m#TS#1778391000","80772.1","1778434225","80772.1","80751","80751","XXBTZUSD","1","1778391000","0.10007689","80752.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778391060","80772.1","1778434285","80772.1","80772","80772.1","XXBTZUSD","1","1778391060","0.01572915","80772"
